loan_id,borrower_id,loan_type,disbursement_date,loan_amount,interest_rate,tenure_months,emi,outstanding_principal,dpd_bucket,months_active,base_risk_score,vintage,ticket_size,payment_delayed_5d,partial_payment,segment_high_default
LN00016,BR57819,Auto,2023-07-18,761000.0,11.64,60,16789.91,394451.67,Current,34,0.08,24M+,2-10L,False,False,False
LN00017,BR97841,Home,2024-01-04,2664000.0,11.86,180,31732.92,2311760.0,Current,28,0.03,24M+,10-50L,True,False,False
LN00018,BR93227,Auto,2022-06-14,1891000.0,14.26,60,44255.57,631909.17,60 DPD,47,0.1026,24M+,10-50L,True,True,False
LN00019,BR31417,Home,2023-02-03,9297000.0,7.9,180,88311.09,7584802.5,Current,39,0.03,24M+,50L+,False,False,False
LN00020,BR93886,Personal,2023-12-16,84000.0,14.89,48,2333.1,40862.5,90+ DPD,29,0.2089,24M+,<2L,True,True,False
LN00021,BR17331,Personal,2024-11-08,254000.0,21.69,60,6970.51,189230.0,Current,18,0.2269,12-24M,2-10L,True,True,True
LN00022,BR62581,Personal,2025-11-27,261000.0,17.83,24,13008.76,205537.5,60 DPD,6,0.2283,0-6M,2-10L,True,True,False
LN00023,BR84341,Personal,2025-09-18,652000.0,11.51,36,21503.46,528844.44,30 DPD,8,0.13,6-12M,2-10L,True,True,False
LN00024,BR61856,Business,2024-11-22,3975000.0,13.99,48,108602.81,2707968.75,Current,18,0.1299,12-24M,10-50L,True,False,False
LN00025,BR42325,Personal,2025-04-14,662000.0,20.04,48,20159.01,509602.08,30 DPD,13,0.2104,12-24M,2-10L,True,True,True
LN00026,BR86622,Auto,2023-01-24,1588000.0,8.52,84,25164.31,945238.1,Current,40,0.08,24M+,10-50L,True,True,False
LN00027,BR38746,Personal,2022-10-24,137000.0,22.15,48,4327.5,32680.21,60 DPD,43,0.2815,24M+,<2L,True,True,True
LN00028,BR16175,Home,2023-03-25,3978000.0,7.79,180,37535.15,3264170.0,Current,38,0.03,24M+,10-50L,False,False,False
LN00029,BR99192,Personal,2025-03-24,294000.0,20.35,12,27283.82,44100.0,60 DPD,12,0.2135,6-12M,2-10L,True,False,True
LN00030,BR60019,Home,2022-09-28,8985000.0,9.62,300,79252.44,7864870.0,Current,44,0.03,24M+,50L+,False,False,False
LN00031,BR82512,Personal,2023-06-18,585000.0,20.77,60,15750.62,294937.5,Current,35,0.2177,24M+,2-10L,True,True,True
LN00032,BR80381,Home,2025-06-11,7939000.0,9.72,120,103687.39,7320419.58,Current,11,0.06,6-12M,50L+,True,False,False
LN00033,BR48469,Home,2022-06-29,4848000.0,7.61,240,39381.89,4041010.0,Current,47,0.03,24M+,10-50L,True,True,False
LN00034,BR44522,Personal,2025-03-14,74000.0,19.09,48,2216.12,55654.17,30 DPD,14,0.2509,12-24M,<2L,True,True,True
LN00035,BR23947,Personal,2025-01-31,431000.0,22.75,60,12088.27,333306.67,90+ DPD,16,0.2375,12-24M,2-10L,True,True,True
LN00036,BR36071,Personal,2022-07-03,358000.0,20.7,36,13432.59,53700.0,Current,36,0.217,24M+,2-10L,True,True,True
LN00037,BR80697,Personal,2023-12-28,108000.0,14.41,24,5206.33,16200.0,90+ DPD,24,0.2041,12-24M,<2L,True,True,False
LN00038,BR74042,Personal,2026-01-30,747000.0,21.41,60,20381.53,704670.0,60 DPD,4,0.2641,0-6M,2-10L,True,True,True
LN00039,BR50306,Home,2025-06-16,8843000.0,11.12,120,122413.79,8153982.92,Current,11,0.06,6-12M,50L+,True,True,False
LN00040,BR84364,Personal,2025-10-05,719000.0,17.78,24,35819.05,540747.92,Current,7,0.1878,6-12M,2-10L,True,False,False
LN00041,BR19071,Auto,2025-08-09,1813000.0,10.23,36,58696.38,1427737.5,Current,9,0.08,6-12M,10-50L,True,True,False
LN00042,BR72296,Personal,2025-05-19,221000.0,16.27,60,5406.05,183430.0,90+ DPD,12,0.1727,6-12M,2-10L,True,True,False
LN00043,BR89507,Auto,2025-02-27,1749000.0,8.05,84,27303.88,1483526.79,Current,15,0.08,12-24M,10-50L,False,False,False
LN00044,BR36365,Home,2024-11-24,4757000.0,8.5,300,38304.65,4514393.0,Current,18,0.03,12-24M,10-50L,True,False,False
LN00045,BR95180,Personal,2023-11-06,303000.0,23.23,36,11765.4,88375.0,Current,30,0.2423,24M+,2-10L,True,True,True
LN00046,BR69177,Personal,2023-08-18,439000.0,19.99,36,16312.58,96945.83,30 DPD,33,0.2099,24M+,2-10L,True,True,True
LN00047,BR54313,Personal,2024-09-11,779000.0,23.49,12,73469.8,116850.0,60 DPD,12,0.2449,6-12M,2-10L,True,False,True
LN00048,BR87128,Personal,2022-10-15,423000.0,14.56,12,38091.5,63450.0,Current,12,0.1556,6-12M,2-10L,True,True,False
LN00049,BR92719,Personal,2026-01-17,78000.0,18.73,24,3921.65,66950.0,Current,4,0.2873,0-6M,<2L,True,True,True
LN00050,BR14117,Home,2024-10-20,1463000.0,8.75,120,18335.3,1266104.58,Current,19,0.06,12-24M,10-50L,False,False,False
LN00051,BR46500,Business,2025-09-08,1578000.0,13.45,48,42687.08,1354450.0,60 DPD,8,0.1245,6-12M,10-50L,True,True,False
LN00052,BR84847,Home,2024-11-19,9871000.0,8.59,300,80083.54,9367579.0,Current,18,0.03,12-24M,50L+,False,False,False
LN00053,BR71993,Auto,2023-06-08,1571000.0,9.66,84,25805.3,1014604.17,60 DPD,35,0.08,24M+,10-50L,True,False,False
LN00054,BR96374,Auto,2025-01-07,862000.0,12.43,72,17045.64,699177.78,Current,16,0.0843,12-24M,2-10L,False,False,False
LN00055,BR71213,Home,2024-02-06,5822000.0,7.91,300,44588.58,5376617.0,90+ DPD,27,0.03,24M+,50L+,True,False,False
LN00056,BR22899,Auto,2022-06-03,777000.0,9.31,36,24820.65,116550.0,Current,36,0.08,24M+,2-10L,False,False,False
LN00057,BR24322,Personal,2023-10-30,493000.0,19.65,12,45586.27,73950.0,Current,12,0.2065,6-12M,2-10L,True,False,True
LN00058,BR68800,Personal,2025-01-04,434000.0,13.56,24,20747.49,188066.67,30 DPD,16,0.1456,12-24M,2-10L,True,True,False
LN00059,BR70637,Home,2023-09-20,2569000.0,10.61,180,28573.14,2180795.56,Current,32,0.03,24M+,10-50L,True,True,False
LN00060,BR82132,Personal,2025-08-30,753000.0,12.36,24,35573.05,512981.25,60 DPD,9,0.1336,6-12M,2-10L,True,True,False
LN00061,BR80855,Personal,2025-10-20,135000.0,22.98,12,12699.0,68062.5,Current,7,0.2898,6-12M,<2L,True,True,True
LN00062,BR40982,Business,2025-07-24,1661000.0,18.6,24,83406.27,1072729.17,30 DPD,10,0.176,6-12M,10-50L,True,True,False
LN00063,BR38016,Auto,2023-10-22,1199000.0,11.71,48,31403.82,540798.96,Current,31,0.08,24M+,10-50L,True,True,False
LN00064,BR10282,Personal,2025-10-03,120000.0,22.61,48,3820.58,105125.0,60 DPD,7,0.2861,6-12M,<2L,True,False,True
LN00065,BR69638,Business,2024-08-06,3349000.0,15.39,60,80359.71,2352672.5,Current,21,0.1439,12-24M,10-50L,True,False,False
LN00066,BR82845,Personal,2023-09-18,594000.0,22.61,36,22873.01,145200.0,Current,32,0.2361,24M+,2-10L,True,True,True
LN00067,BR38534,Business,2025-03-20,4009000.0,18.42,60,102720.44,3213881.67,60 DPD,14,0.1742,12-24M,10-50L,True,True,False
LN00068,BR17989,Personal,2022-11-02,171000.0,22.63,12,16056.53,25650.0,30 DPD,12,0.2863,6-12M,<2L,True,True,True
LN00069,BR72493,Home,2025-10-06,1083000.0,7.96,240,9031.7,1056150.62,Current,7,0.03,6-12M,10-50L,True,False,False
LN00070,BR76562,Auto,2023-02-09,209000.0,9.13,84,3376.42,126519.64,60 DPD,39,0.08,24M+,2-10L,True,False,False
LN00071,BR18907,Home,2025-01-16,7227000.0,10.43,120,97234.47,6407940.0,Current,16,0.06,12-24M,50L+,True,False,False
LN00072,BR84668,Personal,2023-10-28,584000.0,13.7,24,27956.83,87600.0,60 DPD,24,0.147,12-24M,2-10L,True,False,False
LN00073,BR91183,Personal,2022-11-03,610000.0,19.27,24,30829.34,91500.0,Current,24,0.2027,12-24M,2-10L,True,True,True
LN00074,BR84085,Auto,2023-09-26,1384000.0,11.98,36,45955.39,338311.11,60 DPD,32,0.08,24M+,10-50L,True,False,False
LN00075,BR36772,Personal,2024-04-24,326000.0,14.08,60,7598.98,210541.67,30 DPD,25,0.1508,24M+,2-10L,True,True,False
LN00076,BR27154,Personal,2024-09-30,780000.0,15.81,36,27349.38,411666.67,Current,20,0.1681,12-24M,2-10L,True,True,False
LN00077,BR19508,Business,2023-07-10,3340000.0,19.95,48,101548.45,1329041.67,Current,34,0.1895,24M+,10-50L,True,True,False
LN00078,BR83792,Home,2023-07-08,6192000.0,9.72,120,80870.68,4700760.0,Current,34,0.06,24M+,50L+,True,False,False
LN00079,BR76307,Personal,2025-09-03,592000.0,14.29,12,53234.79,256533.33,90+ DPD,8,0.1529,6-12M,2-10L,True,False,False
LN00080,BR19016,Personal,2025-05-05,534000.0,12.89,36,17964.29,382700.0,Current,12,0.1389,6-12M,2-10L,True,True,False
LN00081,BR67433,Business,2024-01-06,4793000.0,21.15,36,180945.94,1624294.44,Current,28,0.2015,24M+,10-50L,True,True,False
LN00082,BR95717,Personal,2024-05-22,62000.0,23.03,60,1748.88,40920.0,Current,24,0.2903,12-24M,<2L,True,True,True
LN00083,BR49240,Home,2022-05-05,9700000.0,11.84,120,138271.11,6402000.0,Current,48,0.06,24M+,50L+,True,True,False
LN00084,BR24029,Business,2025-05-01,1825000.0,15.85,24,89226.93,1049375.0,30 DPD,12,0.1485,6-12M,10-50L,True,True,False
LN00085,BR37607,Business,2024-07-23,1926000.0,13.69,36,65536.5,925550.0,Current,22,0.1269,12-24M,10-50L,True,True,False
LN00086,BR44600,Home,2024-12-11,9425000.0,10.63,240,94921.77,8857536.46,Current,17,0.03,12-24M,50L+,True,False,False
LN00087,BR16658,Home,2024-09-04,1875000.0,10.27,300,17396.31,1768750.0,Current,20,0.03,12-24M,10-50L,False,False,False
LN00088,BR46265,Business,2022-07-12,1130000.0,17.18,24,55967.54,169500.0,Current,24,0.1618,12-24M,10-50L,True,True,False
LN00089,BR27146,Business,2026-01-24,3833000.0,18.97,24,193160.37,3289991.67,Current,4,0.2197,0-6M,10-50L,True,False,False
LN00090,BR82309,Auto,2025-03-07,847000.0,10.06,60,18021.26,679011.67,Current,14,0.08,12-24M,2-10L,False,False,False
LN00091,BR19862,Auto,2022-12-10,1658000.0,14.07,72,34226.49,855481.94,Closed,41,0.1007,24M+,10-50L,False,False,False
LN00092,BR58393,Business,2023-01-10,2801000.0,17.02,36,99891.17,420150.0,Closed,36,0.1602,24M+,10-50L,False,False,False
LN00093,BR26704,Auto,2022-12-27,1370000.0,12.91,84,24856.01,801613.1,Current,41,0.0891,24M+,10-50L,True,False,False
LN00094,BR15229,Auto,2024-05-10,1802000.0,10.37,36,58459.0,780866.67,Current,24,0.08,12-24M,10-50L,True,True,False
LN00095,BR97416,Personal,2024-11-27,120000.0,18.31,36,4356.97,69000.0,Current,18,0.2431,12-24M,<2L,True,True,True
LN00096,BR63264,Personal,2024-02-07,399000.0,17.83,12,36548.04,59850.0,90+ DPD,12,0.1883,6-12M,2-10L,True,True,False
LN00097,BR41029,Personal,2025-03-21,493000.0,10.91,60,10696.9,395221.67,Current,14,0.13,12-24M,2-10L,False,False,False
LN00098,BR13248,Personal,2025-02-03,667000.0,15.36,24,32454.8,312656.25,Current,15,0.1636,12-24M,2-10L,True,True,False
LN00099,BR63964,Personal,2024-03-22,442000.0,20.89,24,22688.58,66300.0,Current,24,0.2189,12-24M,2-10L,True,True,True
LN00100,BR24168,Personal,2024-08-03,517000.0,11.65,24,24252.57,132481.25,Current,21,0.13,12-24M,2-10L,True,True,False
LN00101,BR39154,Personal,2025-11-13,449000.0,17.8,48,13142.5,401293.75,90+ DPD,6,0.228,0-6M,2-10L,True,False,False
LN00102,BR39831,Home,2023-07-04,7535000.0,11.89,180,89900.11,6325213.89,90+ DPD,34,0.03,24M+,50L+,True,False,False
LN00103,BR62227,Home,2025-12-14,3907000.0,11.08,180,44603.31,3814751.39,Current,5,0.07,0-6M,10-50L,True,True,False
LN00104,BR46585,Personal,2024-07-10,379000.0,11.56,36,12508.72,182130.56,Current,22,0.13,12-24M,2-10L,True,True,False
LN00105,BR99065,Personal,2022-06-28,772000.0,21.79,36,29399.23,115800.0,Current,36,0.2279,24M+,2-10L,True,True,True
LN00106,BR25118,Auto,2024-03-24,936000.0,9.21,84,15159.32,689742.86,Current,26,0.08,24M+,2-10L,True,False,False
LN00107,BR44795,Personal,2025-01-31,238000.0,17.91,36,8593.53,148088.89,Current,16,0.1891,12-24M,2-10L,True,True,False
LN00108,BR55309,Auto,2025-06-23,1388000.0,9.96,36,44760.79,1027505.56,Current,11,0.08,6-12M,10-50L,True,False,False
LN00109,BR77033,Business,2023-08-22,3821000.0,17.54,48,111325.51,1588103.12,30 DPD,33,0.1654,24M+,10-50L,True,True,False
LN00110,BR34914,Home,2023-12-05,4776000.0,8.61,120,59496.91,3794930.0,Current,29,0.06,24M+,10-50L,True,True,False
LN00111,BR10221,Personal,2025-11-02,618000.0,10.69,36,20141.92,530450.0,Current,6,0.17,0-6M,2-10L,True,True,False
LN00112,BR97900,Personal,2023-01-25,85000.0,11.05,60,1850.23,36833.33,Current,40,0.18,24M+,<2L,True,False,False
LN00113,BR97062,Business,2024-01-17,3666000.0,16.74,36,130229.02,1242366.67,Current,28,0.1574,24M+,10-50L,True,True,False
LN00114,BR26334,Personal,2022-08-04,419000.0,16.89,36,14915.56,62850.0,Current,36,0.1789,24M+,2-10L,True,False,False
LN00115,BR63528,Personal,2023-03-30,375000.0,15.88,36,13161.68,56250.0,Current,36,0.1688,24M+,2-10L,True,True,False
LN00116,BR82667,Home,2023-10-30,6716000.0,7.7,240,54927.92,5978639.17,Current,31,0.03,24M+,50L+,False,False,False
LN00117,BR59695,Personal,2025-01-04,519000.0,17.29,24,25732.91,224900.0,Current,16,0.1829,12-24M,2-10L,True,True,False
LN00118,BR63225,Business,2022-08-20,3464000.0,13.63,36,117769.76,519600.0,Current,36,0.1263,24M+,10-50L,True,True,False
LN00119,BR37549,Personal,2026-01-31,532000.0,10.86,60,11529.86,501853.33,Current,4,0.17,0-6M,2-10L,True,False,False
LN00120,BR52237,Home,2022-11-01,9462000.0,10.09,300,86582.31,8336022.0,Current,42,0.03,24M+,50L+,False,False,False
LN00121,BR38010,Personal,2023-08-11,532000.0,16.69,48,15265.69,221112.5,90+ DPD,33,0.1769,24M+,2-10L,True,True,False
LN00122,BR47196,Home,2025-02-18,9473000.0,9.24,300,81059.7,9070397.5,Current,15,0.03,12-24M,50L+,False,False,False
LN00123,BR40784,Business,2025-07-24,4574000.0,13.96,48,124899.54,3764020.83,60 DPD,10,0.1296,6-12M,10-50L,True,True,False
LN00124,BR29313,Personal,2024-10-28,126000.0,10.75,36,4110.18,69475.0,30 DPD,19,0.18,12-24M,<2L,True,True,False
LN00125,BR72277,Personal,2025-10-29,562000.0,11.46,12,49791.16,283341.67,Current,7,0.13,6-12M,2-10L,True,True,False
LN00126,BR92544,Personal,2025-09-04,684000.0,10.81,60,14807.09,606480.0,Current,8,0.13,6-12M,2-10L,True,False,False
LN00127,BR60328,Auto,2024-12-29,707000.0,8.83,84,11314.08,585379.17,30 DPD,17,0.08,12-24M,2-10L,True,True,False
LN00128,BR95990,Auto,2023-11-05,1332000.0,14.14,72,27546.8,860250.0,Current,30,0.1014,24M+,10-50L,True,True,False
LN00129,BR38683,Auto,2025-06-27,1646000.0,9.97,36,53088.61,1218497.22,Current,11,0.08,6-12M,10-50L,True,True,False
LN00130,BR83060,Personal,2023-03-08,613000.0,21.39,24,31616.95,91950.0,Current,24,0.2239,12-24M,2-10L,True,False,True
LN00131,BR70901,Business,2025-05-28,2357000.0,15.72,36,82539.67,1689183.33,90+ DPD,12,0.1472,6-12M,10-50L,True,True,False
LN00132,BR68008,Auto,2022-12-14,813000.0,14.52,84,15470.12,475701.79,Current,41,0.1052,24M+,2-10L,True,True,False
LN00133,BR30861,Business,2023-01-05,2430000.0,19.51,60,63719.41,1053000.0,30 DPD,40,0.1851,24M+,10-50L,True,True,False
LN00134,BR42406,Auto,2023-07-25,386000.0,14.32,72,8020.11,231063.89,60 DPD,34,0.1032,24M+,2-10L,True,False,False
LN00135,BR41358,Home,2023-03-01,8438000.0,8.94,240,75593.57,7302385.83,Current,38,0.03,24M+,50L+,False,False,False
LN00136,BR47450,Business,2023-08-15,2251000.0,12.11,48,59399.11,935571.88,Current,33,0.1111,24M+,10-50L,True,False,False
LN00137,BR80798,Business,2024-07-24,911000.0,15.19,36,31664.94,437786.11,Current,22,0.1419,12-24M,2-10L,True,False,False
LN00138,BR60205,Business,2025-04-23,4778000.0,17.73,24,237914.5,2578129.17,Current,13,0.1673,12-24M,10-50L,True,True,False
LN00139,BR63424,Home,2024-11-19,5036000.0,8.82,180,50540.63,4607940.0,Current,18,0.03,12-24M,50L+,False,False,False
LN00140,BR18161,Personal,2023-01-16,554000.0,20.66,36,20775.4,83100.0,60 DPD,36,0.2166,24M+,2-10L,True,False,True
LN00141,BR86556,Auto,2023-09-24,1621000.0,8.64,48,40062.13,702433.33,Current,32,0.08,24M+,10-50L,True,False,False
LN00142,BR10772,Home,2022-11-09,1518000.0,9.97,120,20035.27,1066395.0,Current,42,0.06,24M+,10-50L,True,False,False
LN00143,BR64921,Home,2024-05-30,8989000.0,9.08,240,81339.44,8224935.0,Current,24,0.03,12-24M,50L+,True,False,False
LN00144,BR38906,Personal,2023-01-09,157000.0,20.78,60,4227.97,68033.33,60 DPD,40,0.2678,24M+,<2L,True,True,True
LN00145,BR73654,Home,2024-11-08,1910000.0,7.88,300,14590.18,1812590.0,Current,18,0.03,12-24M,10-50L,True,False,False
LN00146,BR99016,Auto,2023-11-27,331000.0,13.75,36,11272.65,96541.67,Current,30,0.0975,24M+,2-10L,False,False,False
LN00147,BR26728,Auto,2025-02-27,346000.0,8.59,72,6166.66,284729.17,60 DPD,15,0.08,12-24M,2-10L,True,True,False
LN00148,BR96900,Business,2023-11-17,2184000.0,15.71,24,106633.06,327600.0,30 DPD,24,0.1471,12-24M,10-50L,True,True,False
LN00149,BR27786,Auto,2025-08-13,1905000.0,14.9,36,65944.2,1500187.5,Current,9,0.109,6-12M,10-50L,True,True,False
LN00150,BR59689,Auto,2025-01-24,877000.0,8.58,72,15626.21,711344.44,30 DPD,16,0.08,12-24M,2-10L,True,False,False
LN00151,BR54236,Auto,2024-11-24,1205000.0,10.97,60,26181.6,897725.0,Current,18,0.08,12-24M,10-50L,False,False,False
LN00152,BR65255,Business,2024-07-11,1000000.0,16.93,60,24814.95,688333.33,Current,22,0.1593,12-24M,10-50L,True,True,False
LN00153,BR80702,Personal,2025-08-17,401000.0,11.26,36,13177.65,315787.5,Current,9,0.13,6-12M,2-10L,True,True,False
LN00154,BR18993,Personal,2024-02-15,138000.0,19.26,12,12734.74,20700.0,30 DPD,12,0.2526,6-12M,<2L,True,True,True
LN00155,BR36130,Auto,2025-11-29,1250000.0,14.74,36,43172.68,1072916.67,Current,6,0.1474,0-6M,10-50L,True,False,False
LN00156,BR26544,Personal,2022-08-08,264000.0,22.23,12,24738.15,39600.0,30 DPD,12,0.2323,6-12M,2-10L,True,True,True
LN00157,BR38569,Personal,2025-06-11,772000.0,10.66,48,19825.52,621620.83,Current,11,0.13,6-12M,2-10L,True,False,False
LN00158,BR31992,Business,2024-08-25,694000.0,20.91,60,18739.91,487535.0,60 DPD,21,0.1991,12-24M,2-10L,True,False,False
LN00159,BR24168,Home,2025-03-02,9937000.0,7.83,120,119672.46,8951580.83,90+ DPD,14,0.06,12-24M,50L+,True,False,False
LN00160,BR59192,Home,2024-05-03,9724000.0,9.85,120,127697.03,8070920.0,Current,24,0.06,12-24M,50L+,True,False,False
LN00161,BR92213,Home,2024-12-21,7262000.0,9.55,300,63700.44,6912213.67,Current,17,0.03,12-24M,50L+,True,False,False
LN00162,BR49529,Home,2025-07-07,6259000.0,11.56,180,73355.92,5963436.11,Current,10,0.03,6-12M,50L+,True,True,False
LN00163,BR84177,Personal,2025-05-29,261000.0,23.33,60,7407.28,216630.0,Current,12,0.2433,6-12M,2-10L,True,True,True
LN00164,BR96706,Business,2024-02-20,2550000.0,18.2,24,127553.02,382500.0,30 DPD,24,0.172,12-24M,10-50L,True,True,False
LN00165,BR54725,Personal,2025-09-12,191000.0,16.76,36,6786.88,154922.22,Current,8,0.2276,6-12M,<2L,True,True,False
LN00166,BR23833,Personal,2023-09-24,488000.0,11.55,12,43255.55,73200.0,Current,12,0.13,6-12M,2-10L,True,True,False
LN00167,BR70258,Business,2024-01-21,4938000.0,18.98,60,128040.11,2979260.0,30 DPD,28,0.1798,24M+,10-50L,True,True,False
LN00168,BR78386,Home,2023-08-24,3786000.0,11.16,180,43412.7,3196015.0,Current,33,0.03,24M+,10-50L,True,False,False
LN00169,BR80539,Auto,2022-08-19,493000.0,14.38,60,11568.6,178712.5,Current,45,0.1038,24M+,2-10L,True,False,False
LN00170,BR87656,Auto,2023-06-24,1910000.0,13.08,72,38422.23,1120798.61,Current,35,0.0908,24M+,10-50L,False,False,False
LN00171,BR21359,Home,2024-04-11,4764000.0,11.7,240,51462.79,4342187.5,30 DPD,25,0.03,24M+,10-50L,True,True,False
LN00172,BR70910,Business,2023-07-23,703000.0,12.26,48,18602.56,279735.42,90+ DPD,34,0.1126,24M+,2-10L,True,False,False
LN00173,BR54092,Personal,2022-08-31,658000.0,23.83,60,18864.45,238525.0,90+ DPD,45,0.2483,24M+,2-10L,True,True,True
LN00174,BR33834,Personal,2023-04-25,496000.0,15.64,12,44918.05,74400.0,30 DPD,12,0.1664,6-12M,2-10L,True,True,False
LN00175,BR43862,Business,2024-11-23,4290000.0,20.38,60,114567.73,3196050.0,Current,18,0.1938,12-24M,10-50L,True,False,False
LN00176,BR46211,Home,2024-07-08,4733000.0,8.73,240,41765.65,4364220.42,Current,22,0.03,12-24M,10-50L,True,False,False
LN00177,BR35042,Personal,2026-01-11,699000.0,21.47,60,19095.57,659390.0,Current,4,0.2647,0-6M,2-10L,True,False,True
LN00178,BR74038,Business,2024-09-24,4985000.0,17.55,24,247789.11,1453958.33,Current,20,0.1655,12-24M,10-50L,True,True,False
LN00179,BR94659,Auto,2024-09-26,1901000.0,13.95,84,35572.28,1516273.81,Current,20,0.0995,12-24M,10-50L,True,False,False
LN00180,BR22196,Personal,2023-07-29,388000.0,12.24,48,10263.31,154391.67,Current,34,0.1324,24M+,2-10L,True,False,False
LN00181,BR41890,Business,2024-11-04,3228000.0,14.29,48,88680.17,2199075.0,90+ DPD,18,0.1329,12-24M,10-50L,True,True,False
LN00182,BR72031,Auto,2022-05-13,1313000.0,10.51,60,28228.0,420160.0,Current,48,0.08,24M+,10-50L,True,True,False
LN00183,BR82140,Personal,2023-02-09,554000.0,17.52,60,13923.7,247915.0,Current,39,0.1852,24M+,2-10L,True,False,False
LN00184,BR45509,Auto,2024-02-11,1136000.0,13.97,60,26415.07,701480.0,Current,27,0.0997,24M+,10-50L,True,False,False
LN00185,BR35242,Home,2024-09-04,6048000.0,11.44,240,64247.81,5619600.0,Current,20,0.03,12-24M,50L+,False,False,False
LN00186,BR34267,Home,2025-06-01,2206000.0,7.63,240,17947.15,2120057.92,Current,11,0.03,6-12M,10-50L,True,False,False
LN00187,BR46241,Auto,2024-11-14,1317000.0,12.93,48,35286.07,897206.25,90+ DPD,18,0.0893,12-24M,10-50L,True,False,False
LN00188,BR23176,Personal,2023-02-22,152000.0,10.7,60,3282.15,68020.0,Current,39,0.18,24M+,<2L,True,False,False
LN00189,BR33519,Personal,2024-06-04,492000.0,15.8,24,24042.86,91225.0,Current,23,0.168,12-24M,2-10L,True,False,False
LN00190,BR26591,Home,2026-01-03,9137000.0,9.07,240,82619.75,9007559.17,Current,4,0.07,0-6M,50L+,True,False,False
LN00191,BR82529,Home,2025-10-30,8053000.0,9.28,240,73911.41,7853352.71,Current,7,0.03,6-12M,50L+,False,False,False
LN00192,BR74340,Home,2025-05-18,8761000.0,11.77,240,95065.06,8388657.5,Current,12,0.03,6-12M,50L+,False,False,False
LN00193,BR71524,Personal,2026-01-06,745000.0,17.14,12,67997.05,533916.67,Current,4,0.2214,0-6M,2-10L,True,True,False
LN00194,BR16734,Personal,2023-08-13,394000.0,23.73,48,12786.38,163756.25,90+ DPD,33,0.2473,24M+,2-10L,True,True,True
LN00195,BR18564,Home,2023-05-29,3959000.0,10.35,240,39127.76,3454227.5,Current,36,0.03,24M+,10-50L,False,False,False
LN00196,BR92502,Personal,2023-04-30,107000.0,12.24,48,2830.35,36892.71,Current,37,0.1824,24M+,<2L,True,True,False
LN00197,BR83772,Personal,2025-03-27,164000.0,12.37,12,14599.6,24600.0,Current,12,0.1837,6-12M,<2L,True,False,False
LN00198,BR25525,Home,2025-08-10,2637000.0,9.06,240,23827.63,2552945.62,Current,9,0.03,6-12M,10-50L,False,False,False
LN00199,BR91057,Business,2022-09-08,2633000.0,18.68,60,67838.7,991763.33,Current,44,0.1768,24M+,10-50L,True,True,False
LN00200,BR68028,Personal,2023-02-26,194000.0,11.05,24,9046.42,29100.0,30 DPD,24,0.18,12-24M,<2L,True,True,False
LN00201,BR50026,Personal,2022-10-14,259000.0,12.89,36,8713.02,38850.0,60 DPD,36,0.1389,24M+,2-10L,True,True,False
