loan_id,month_offset,expected,collected,delayed_days
LN00033,3,39381.89,39231.77,0
LN00033,4,39381.89,39257.03,0
LN00033,5,39381.89,31184.45,22
LN00033,6,39381.89,39316.84,0
LN00034,1,2216.12,1389.7,6
LN00034,2,2216.12,2205.23,0
LN00034,3,2216.12,1959.6,16
LN00034,4,2216.12,0.0,67
LN00034,5,2216.12,2197.62,0
LN00034,6,2216.12,2216.12,13
LN00035,1,12088.27,0.0,72
LN00035,2,12088.27,0.0,70
LN00035,3,12088.27,6635.86,29
LN00035,4,12088.27,12038.5,0
LN00035,5,12088.27,0.0,79
LN00035,6,12088.27,0.0,83
LN00036,1,13432.59,13432.59,5
LN00036,2,13432.59,0.0,72
LN00036,3,13432.59,0.0,16
LN00036,4,13432.59,0.0,18
LN00036,5,13432.59,5444.63,5
LN00036,6,13432.59,13399.31,0
LN00037,1,5206.33,0.0,65
LN00037,2,5206.33,0.0,29
LN00037,3,5206.33,5206.33,5
LN00037,4,5206.33,2592.56,19
LN00037,5,5206.33,2322.69,17
LN00037,6,5206.33,4667.65,10
LN00038,1,20381.53,0.0,54
LN00038,2,20381.53,0.0,79
LN00038,3,20381.53,13762.43,5
LN00038,4,20381.53,14251.45,5
LN00039,1,122413.79,121448.14,0
LN00039,2,122413.79,121486.75,0
LN00039,3,122413.79,122358.76,0
LN00039,4,122413.79,104201.79,29
LN00039,5,122413.79,121742.3,0
LN00039,6,122413.79,122247.29,0
LN00040,1,35819.05,35798.59,0
LN00040,2,35819.05,35804.82,0
LN00040,3,35819.05,35819.05,4
LN00040,4,35819.05,35788.81,0
LN00040,5,35819.05,0.0,73
LN00040,6,35819.05,0.0,32
LN00041,1,58696.38,58444.25,0
LN00041,2,58696.38,38084.52,19
LN00041,3,58696.38,58158.75,0
LN00041,4,58696.38,58566.27,0
LN00041,5,58696.38,39591.86,25
LN00041,6,58696.38,58198.39,0
LN00042,1,5406.05,0.0,83
LN00042,2,5406.05,3863.46,15
LN00042,3,5406.05,3658.51,12
LN00042,4,5406.05,5406.05,14
LN00042,5,5406.05,1945.42,24
LN00042,6,5406.05,0.0,69
LN00043,1,27303.88,27260.77,0
LN00043,2,27303.88,27183.51,0
LN00043,3,27303.88,27298.97,0
LN00043,4,27303.88,27108.81,0
LN00043,5,27303.88,27285.86,0
LN00043,6,27303.88,27070.9,0
LN00044,1,38304.65,38257.35,0
LN00044,2,38304.65,38206.19,0
LN00044,3,38304.65,38045.12,0
LN00044,4,38304.65,0.0,63
LN00044,5,38304.65,38118.49,0
LN00044,6,38304.65,37967.54,0
LN00045,1,11765.4,11765.4,9
LN00045,2,11765.4,11751.0,0
LN00045,3,11765.4,7797.15,24
LN00045,4,11765.4,8830.53,22
LN00045,5,11765.4,11765.4,7
LN00045,6,11765.4,0.0,67
LN00046,1,16312.58,8410.55,18
LN00046,2,16312.58,0.0,80
LN00046,3,16312.58,7004.25,9
LN00046,4,16312.58,0.0,66
LN00046,5,16312.58,7095.47,27
LN00046,6,16312.58,8488.62,5
LN00047,1,73469.8,0.0,41
LN00047,2,73469.8,72818.79,0
LN00047,3,73469.8,0.0,65
LN00047,4,73469.8,73469.8,2
LN00047,5,73469.8,0.0,75
LN00047,6,73469.8,0.0,37
LN00048,1,38091.5,37733.51,0
LN00048,2,38091.5,26952.13,16
LN00048,3,38091.5,0.0,60
LN00048,4,38091.5,37770.8,0
LN00048,5,38091.5,16598.16,25
LN00048,6,38091.5,0.0,65
LN00049,1,3921.65,3271.43,23
LN00049,2,3921.65,2397.44,19
LN00049,3,3921.65,0.0,28
LN00049,4,3921.65,2981.21,8
LN00050,1,18335.3,18174.69,0
LN00050,2,18335.3,18311.49,0
LN00050,3,18335.3,18231.82,0
LN00050,4,18335.3,18308.75,0
LN00050,5,18335.3,18165.91,0
LN00050,6,18335.3,18157.81,0
LN00051,1,42687.08,0.0,32
LN00051,2,42687.08,13292.67,24
LN00051,3,42687.08,42577.36,0
LN00051,4,42687.08,42460.24,0
LN00051,5,42687.08,42298.66,0
LN00051,6,42687.08,42687.08,3
LN00052,1,80083.54,79509.02,0
LN00052,2,80083.54,79623.23,0
LN00052,3,80083.54,80032.76,0
LN00052,4,80083.54,80066.77,0
LN00052,5,80083.54,79409.75,0
LN00052,6,80083.54,79474.07,0
LN00053,1,25805.3,0.0,49
LN00053,2,25805.3,25698.03,0
LN00053,3,25805.3,25553.11,0
LN00053,4,25805.3,25762.41,0
LN00053,5,25805.3,25616.54,0
LN00053,6,25805.3,25585.23,0
LN00054,1,17045.64,17006.18,0
LN00054,2,17045.64,16978.08,0
LN00054,3,17045.64,16921.2,0
LN00054,4,17045.64,17009.59,0
LN00054,5,17045.64,16996.17,0
LN00054,6,17045.64,17030.64,0
LN00055,1,44588.58,0.0,86
LN00055,2,44588.58,44536.98,0
LN00055,3,44588.58,44304.7,0
LN00055,4,44588.58,44343.09,0
LN00055,5,44588.58,44588.58,4
LN00055,6,44588.58,44144.94,0
LN00056,1,24820.65,24651.2,0
LN00056,2,24820.65,24769.02,0
LN00056,3,24820.65,24820.65,2
LN00056,4,24820.65,24641.64,0
LN00056,5,24820.65,24812.31,0
LN00056,6,24820.65,24744.68,0
LN00057,1,45586.27,45281.17,0
LN00057,2,45586.27,45586.27,3
LN00057,3,45586.27,45586.27,9
LN00057,4,45586.27,0.0,36
LN00057,5,45586.27,0.0,86
LN00057,6,45586.27,0.0,21
LN00058,1,20747.49,10396.5,13
LN00058,2,20747.49,0.0,49
LN00058,3,20747.49,20747.49,14
LN00058,4,20747.49,20635.54,0
LN00058,5,20747.49,20747.49,14
LN00058,6,20747.49,20546.95,0
LN00059,1,28573.14,28503.95,0
LN00059,2,28573.14,25458.22,17
LN00059,3,28573.14,28548.46,0
LN00059,4,28573.14,28467.94,0
LN00059,5,28573.14,28425.88,0
LN00059,6,28573.14,28451.79,0
LN00060,1,35573.05,0.0,59
LN00060,2,35573.05,20516.58,17
LN00060,3,35573.05,35573.05,10
LN00060,4,35573.05,35573.05,14
LN00060,5,35573.05,35400.63,0
LN00060,6,35573.05,35450.07,0
LN00061,1,12699.0,12699.0,3
LN00061,2,12699.0,5725.71,10
LN00061,3,12699.0,12699.0,10
LN00061,4,12699.0,0.0,23
LN00061,5,12699.0,0.0,74
LN00061,6,12699.0,10857.64,21
LN00062,1,83406.27,0.0,16
LN00062,2,83406.27,82827.0,0
LN00062,3,83406.27,83325.5,0
LN00062,4,83406.27,71953.54,27
LN00062,5,83406.27,83222.91,0
LN00062,6,83406.27,83100.96,0
LN00063,1,31403.82,31229.47,0
LN00063,2,31403.82,31354.99,0
LN00063,3,31403.82,15585.81,12
LN00063,4,31403.82,31403.82,12
LN00063,5,31403.82,31356.07,0
LN00063,6,31403.82,0.0,30
LN00064,1,3820.58,0.0,31
LN00064,2,3820.58,3820.58,12
LN00064,3,3820.58,3820.58,13
LN00064,4,3820.58,3820.58,9
LN00064,5,3820.58,0.0,54
LN00064,6,3820.58,3820.58,13
LN00065,1,80359.71,79705.63,0
LN00065,2,80359.71,79966.72,0
LN00065,3,80359.71,0.0,84
LN00065,4,80359.71,80359.71,9
LN00065,5,80359.71,80359.71,4
LN00065,6,80359.71,80150.92,0
LN00066,1,22873.01,22873.01,12
LN00066,2,22873.01,22829.4,0
LN00066,3,22873.01,0.0,59
LN00066,4,22873.01,0.0,75
LN00066,5,22873.01,22873.01,1
LN00066,6,22873.01,18381.47,10
LN00067,1,102720.44,0.0,40
LN00067,2,102720.44,0.0,84
LN00067,3,102720.44,102720.44,2
LN00067,4,102720.44,0.0,52
LN00067,5,102720.44,61346.86,17
LN00067,6,102720.44,102324.53,0
LN00068,1,16056.53,9731.78,8
LN00068,2,16056.53,16056.53,2
LN00068,3,16056.53,16056.53,13
LN00068,4,16056.53,0.0,87
LN00068,5,16056.53,5648.73,28
LN00068,6,16056.53,11388.68,13
LN00069,1,9031.7,8961.9,0
LN00069,2,9031.7,8948.53,0
LN00069,3,9031.7,0.0,78
LN00069,4,9031.7,9003.9,0
LN00069,5,9031.7,9031.7,6
LN00069,6,9031.7,9030.02,0
LN00070,1,3376.42,0.0,54
LN00070,2,3376.42,3353.67,0
LN00070,3,3376.42,3364.1,0
LN00070,4,3376.42,3365.04,0
LN00070,5,3376.42,3345.73,0
LN00070,6,3376.42,3375.77,0
LN00071,1,97234.47,97187.37,0
LN00071,2,97234.47,97168.52,0
LN00071,3,97234.47,96393.95,0
LN00071,4,97234.47,96470.6,0
LN00071,5,97234.47,97234.47,10
LN00071,6,97234.47,97117.93,0
LN00072,1,27956.83,0.0,47
LN00072,2,27956.83,0.0,85
LN00072,3,27956.83,0.0,23
LN00072,4,27956.83,0.0,49
LN00072,5,27956.83,27751.64,0
LN00072,6,27956.83,27809.81,0
LN00073,1,30829.34,30556.85,0
LN00073,2,30829.34,30829.34,8
LN00073,3,30829.34,17446.1,26
LN00073,4,30829.34,10931.06,17
LN00073,5,30829.34,30780.54,0
LN00073,6,30829.34,0.0,44
LN00074,1,45955.39,0.0,34
LN00074,2,45955.39,45955.39,4
LN00074,3,45955.39,45955.39,4
LN00074,4,45955.39,0.0,34
LN00074,5,45955.39,45805.4,0
LN00074,6,45955.39,45577.8,0
LN00075,1,7598.98,4627.21,29
LN00075,2,7598.98,0.0,26
LN00075,3,7598.98,7558.18,0
LN00075,4,7598.98,7561.6,0
LN00075,5,7598.98,7542.58,0
LN00075,6,7598.98,7583.38,0
LN00076,1,27349.38,27197.58,0
LN00076,2,27349.38,23441.33,27
LN00076,3,27349.38,27232.91,0
LN00076,4,27349.38,27349.38,10
LN00076,5,27349.38,21109.95,16
LN00076,6,27349.38,0.0,51
LN00077,1,101548.45,101548.45,14
LN00077,2,101548.45,0.0,23
LN00077,3,101548.45,68872.73,8
LN00077,4,101548.45,0.0,33
LN00077,5,101548.45,101090.89,0
LN00077,6,101548.45,0.0,73
LN00078,1,80870.68,80370.9,0
LN00078,2,80870.68,80238.89,0
LN00078,3,80870.68,80870.68,1
LN00078,4,80870.68,80250.48,0
LN00078,5,80870.68,0.0,86
LN00078,6,80870.68,80081.49,0
LN00079,1,53234.79,0.0,72
LN00079,2,53234.79,0.0,40
LN00079,3,53234.79,52725.48,0
LN00079,4,53234.79,52874.91,0
LN00079,5,53234.79,52839.12,0
LN00079,6,53234.79,53178.2,0
LN00080,1,17964.29,17955.09,0
LN00080,2,17964.29,17891.26,0
LN00080,3,17964.29,16078.07,24
LN00080,4,17964.29,17905.35,0
LN00080,5,17964.29,17926.06,0
LN00080,6,17964.29,0.0,85
LN00081,1,180945.94,179575.93,0
LN00081,2,180945.94,120750.28,26
LN00081,3,180945.94,0.0,15
LN00081,4,180945.94,128890.78,18
LN00081,5,180945.94,0.0,38
LN00081,6,180945.94,180814.13,0
LN00082,1,1748.88,1748.88,7
LN00082,2,1748.88,0.0,70
LN00082,3,1748.88,1748.88,14
LN00082,4,1748.88,1748.88,9
LN00082,5,1748.88,0.0,49
LN00082,6,1748.88,597.9,24
LN00083,1,138271.11,138271.11,14
LN00083,2,138271.11,137766.62,0
LN00083,3,138271.11,137403.36,0
LN00083,4,138271.11,99670.45,5
LN00083,5,138271.11,137872.49,0
LN00083,6,138271.11,137203.81,0
LN00084,1,89226.93,53474.7,26
LN00084,2,89226.93,88430.68,0
LN00084,3,89226.93,78497.21,21
LN00084,4,89226.93,89226.93,2
LN00084,5,89226.93,88358.58,0
LN00084,6,89226.93,88737.57,0
LN00085,1,65536.5,65536.5,4
LN00085,2,65536.5,0.0,57
LN00085,3,65536.5,64991.16,0
LN00085,4,65536.5,65083.07,0
LN00085,5,65536.5,47170.17,6
LN00085,6,65536.5,36669.13,13
LN00086,1,94921.77,94117.04,0
LN00086,2,94921.77,94756.55,0
LN00086,3,94921.77,94869.76,0
LN00086,4,94921.77,94106.99,0
LN00086,5,94921.77,94921.77,11
LN00086,6,94921.77,94252.97,0
LN00087,1,17396.31,17342.38,0
LN00087,2,17396.31,17313.73,0
LN00087,3,17396.31,17257.43,0
LN00087,4,17396.31,17345.23,0
LN00087,5,17396.31,17239.71,0
LN00087,6,17396.31,17387.08,0
LN00088,1,55967.54,55942.95,0
LN00088,2,55967.54,55820.71,0
LN00088,3,55967.54,55623.61,0
LN00088,4,55967.54,55575.09,0
LN00088,5,55967.54,55967.54,8
LN00088,6,55967.54,33717.58,17
LN00089,1,193160.37,193160.37,5
LN00089,2,193160.37,0.0,63
LN00089,3,193160.37,193160.37,5
LN00089,4,193160.37,192439.98,0
LN00090,1,18021.26,17908.78,0
LN00090,2,18021.26,18021.26,2
LN00090,3,18021.26,17966.44,0
LN00090,4,18021.26,17965.97,0
LN00090,5,18021.26,17913.77,0
LN00090,6,18021.26,18013.63,0
LN00093,1,24856.01,24834.53,0
LN00093,2,24856.01,24856.01,12
LN00093,3,24856.01,0.0,50
LN00093,4,24856.01,0.0,72
LN00093,5,24856.01,24850.87,0
LN00093,6,24856.01,24818.51,0
LN00094,1,58459.0,58095.54,0
LN00094,2,58459.0,58138.41,0
LN00094,3,58459.0,40409.21,29
LN00094,4,58459.0,58172.94,0
LN00094,5,58459.0,58284.41,0
LN00094,6,58459.0,58097.48,0
LN00095,1,4356.97,4315.95,0
LN00095,2,4356.97,4326.37,0
LN00095,3,4356.97,0.0,76
LN00095,4,4356.97,0.0,30
LN00095,5,4356.97,0.0,62
LN00095,6,4356.97,1971.09,27
LN00096,1,36548.04,0.0,66
LN00096,2,36548.04,29568.85,6
LN00096,3,36548.04,36548.04,11
LN00096,4,36548.04,0.0,67
LN00096,5,36548.04,0.0,74
LN00096,6,36548.04,36548.04,10
LN00097,1,10696.9,10629.65,0
LN00097,2,10696.9,10682.95,0
LN00097,3,10696.9,10596.37,0
LN00097,4,10696.9,10676.48,0
LN00097,5,10696.9,10605.83,0
LN00097,6,10696.9,10593.15,0
LN00098,1,32454.8,32134.22,0
LN00098,2,32454.8,32454.8,8
LN00098,3,32454.8,32454.8,1
LN00098,4,32454.8,0.0,50
LN00098,5,32454.8,10846.69,25
LN00098,6,32454.8,0.0,32
LN00099,1,22688.58,22658.36,0
LN00099,2,22688.58,0.0,21
LN00099,3,22688.58,22688.58,12
LN00099,4,22688.58,22569.7,0
LN00099,5,22688.58,11008.81,24
LN00099,6,22688.58,16758.19,10
LN00100,1,24252.57,24220.88,0
LN00100,2,24252.57,24043.29,0
LN00100,3,24252.57,24150.49,0
LN00100,4,24252.57,8753.51,6
LN00100,5,24252.57,24176.4,0
LN00100,6,24252.57,24011.27,0
LN00101,1,13142.5,0.0,74
LN00101,2,13142.5,0.0,62
LN00101,3,13142.5,13142.5,11
LN00101,4,13142.5,0.0,33
LN00101,5,13142.5,0.0,53
LN00101,6,13142.5,13106.9,0
LN00102,1,89900.11,0.0,75
LN00102,2,89900.11,89078.61,0
LN00102,3,89900.11,89742.69,0
LN00102,4,89900.11,89839.06,0
LN00102,5,89900.11,89338.24,0
LN00102,6,89900.11,89523.29,0
LN00103,1,44603.31,44518.67,0
LN00103,2,44603.31,44602.64,0
LN00103,3,44603.31,21554.29,21
LN00103,4,44603.31,44430.06,0
LN00103,5,44603.31,44309.23,0
LN00104,1,12508.72,12405.15,0
LN00104,2,12508.72,12454.63,0
LN00104,3,12508.72,4719.22,25
LN00104,4,12508.72,0.0,46
LN00104,5,12508.72,12460.64,0
LN00104,6,12508.72,12390.65,0
LN00105,1,29399.23,29352.36,0
LN00105,2,29399.23,15493.56,12
LN00105,3,29399.23,29188.09,0
LN00105,4,29399.23,22981.6,13
LN00105,5,29399.23,29399.23,6
LN00105,6,29399.23,29378.96,0
LN00106,1,15159.32,15099.01,0
LN00106,2,15159.32,15099.01,0
LN00106,3,15159.32,0.0,64
LN00106,4,15159.32,15039.17,0
LN00106,5,15159.32,0.0,59
LN00106,6,15159.32,15064.67,0
LN00107,1,8593.53,7572.34,15
LN00107,2,8593.53,0.0,55
LN00107,3,8593.53,8567.56,0
LN00107,4,8593.53,8593.53,2
LN00107,5,8593.53,8589.04,0
LN00107,6,8593.53,0.0,70
LN00108,1,44760.79,44756.72,0
LN00108,2,44760.79,44528.54,0
LN00108,3,44760.79,44760.79,9
LN00108,4,44760.79,44674.39,0
LN00108,5,44760.79,44446.86,0
LN00108,6,44760.79,44318.81,0
LN00109,1,111325.51,37455.95,14
LN00109,2,111325.51,110778.87,0
LN00109,3,111325.51,0.0,40
LN00109,4,111325.51,0.0,39
LN00109,5,111325.51,57070.5,13
LN00109,6,111325.51,110937.97,0
LN00110,1,59496.91,59186.52,0
LN00110,2,59496.91,58968.98,0
LN00110,3,59496.91,18121.52,16
LN00110,4,59496.91,59302.13,0
LN00110,5,59496.91,59188.29,0
LN00110,6,59496.91,26716.85,20
LN00111,1,20141.92,20141.92,5
LN00111,2,20141.92,20141.92,5
LN00111,3,20141.92,20034.53,0
LN00111,4,20141.92,12836.2,11
LN00111,5,20141.92,20141.92,1
LN00111,6,20141.92,20119.03,0
LN00112,1,1850.23,1840.63,0
LN00112,2,1850.23,0.0,50
LN00112,3,1850.23,1836.85,0
LN00112,4,1850.23,0.0,27
LN00112,5,1850.23,1836.35,0
LN00112,6,1850.23,0.0,64
LN00113,1,130229.02,130229.02,13
LN00113,2,130229.02,99548.3,25
LN00113,3,130229.02,130229.02,2
LN00113,4,130229.02,129373.74,0
LN00113,5,130229.02,129380.0,0
LN00113,6,130229.02,129966.51,0
LN00114,1,14915.56,14915.56,10
LN00114,2,14915.56,14860.02,0
LN00114,3,14915.56,14915.56,12
LN00114,4,14915.56,14915.56,1
LN00114,5,14915.56,14915.56,6
LN00114,6,14915.56,14790.34,0
LN00115,1,13161.68,11035.18,27
LN00115,2,13161.68,0.0,36
LN00115,3,13161.68,0.0,39
LN00115,4,13161.68,13161.68,12
LN00115,5,13161.68,13161.68,4
LN00115,6,13161.68,0.0,68
LN00116,1,54927.92,54820.36,0
LN00116,2,54927.92,54436.28,0
LN00116,3,54927.92,54827.36,0
LN00116,4,54927.92,54645.17,0
LN00116,5,54927.92,54557.4,0
LN00116,6,54927.92,54926.37,0
LN00117,1,25732.91,25481.79,0
LN00117,2,25732.91,25503.15,0
LN00117,3,25732.91,25712.49,0
LN00117,4,25732.91,25524.43,0
LN00117,5,25732.91,19128.16,6
LN00117,6,25732.91,25586.27,0
LN00118,1,117769.76,117769.76,11
LN00118,2,117769.76,0.0,24
LN00118,3,117769.76,117132.07,0
LN00118,4,117769.76,58896.16,15
LN00118,5,117769.76,117769.76,1
LN00118,6,117769.76,46070.8,15
LN00119,1,11529.86,11517.44,0
LN00119,2,11529.86,11529.86,14
LN00119,3,11529.86,11529.86,3
LN00119,4,11529.86,0.0,69
LN00120,1,86582.31,85742.76,0
LN00120,2,86582.31,86314.21,0
LN00120,3,86582.31,85786.59,0
LN00120,4,86582.31,85798.54,0
LN00120,5,86582.31,85776.89,0
LN00120,6,86582.31,86403.73,0
LN00121,1,15265.69,0.0,79
LN00121,2,15265.69,15197.14,0
LN00121,3,15265.69,15140.28,0
LN00121,4,15265.69,8028.83,17
LN00121,5,15265.69,15149.29,0
LN00121,6,15265.69,0.0,33
LN00122,1,81059.7,80575.95,0
LN00122,2,81059.7,81034.34,0
LN00122,3,81059.7,80817.73,0
LN00122,4,81059.7,80904.24,0
LN00122,5,81059.7,80906.68,0
LN00122,6,81059.7,80663.66,0
LN00123,1,124899.54,0.0,50
LN00123,2,124899.54,56281.42,11
LN00123,3,124899.54,123687.09,0
LN00123,4,124899.54,0.0,21
LN00123,5,124899.54,124433.05,0
LN00123,6,124899.54,0.0,22
LN00124,1,4110.18,2242.92,23
LN00124,2,4110.18,0.0,63
LN00124,3,4110.18,4105.09,0
LN00124,4,4110.18,4110.18,2
LN00124,5,4110.18,4071.56,0
LN00124,6,4110.18,0.0,62
LN00125,1,49791.16,49476.89,0
LN00125,2,49791.16,49504.28,0
LN00125,3,49791.16,49616.75,0
LN00125,4,49791.16,49729.18,0
LN00125,5,49791.16,37414.08,26
LN00125,6,49791.16,49791.16,14
LN00126,1,14807.09,14779.51,0
LN00126,2,14807.09,14771.58,0
LN00126,3,14807.09,14773.04,0
LN00126,4,14807.09,0.0,48
LN00126,5,14807.09,14750.66,0
LN00126,6,14807.09,14702.86,0
LN00127,1,11314.08,0.0,28
LN00127,2,11314.08,7323.06,20
LN00127,3,11314.08,11279.03,0
LN00127,4,11314.08,11246.02,0
LN00127,5,11314.08,11314.08,5
LN00127,6,11314.08,11284.21,0
LN00128,1,27546.8,27376.87,0
LN00128,2,27546.8,27475.56,0
LN00128,3,27546.8,27546.8,4
LN00128,4,27546.8,15295.26,20
LN00128,5,27546.8,27421.33,0
